tab_id,item_id,item_label,item_icon,description
header,app-title,NutriCast,,
header,harvard_logo,Harvard School of Public Health,,
header,edf_logo,The Environmental Defense Fund,,
header,emlab_logo,The Environmental Market Solutions Lab,,
,,,,
overview,overview,Overview,,title of overview tab
overview,overview_header,A web-based tool to explore forecasted nutritional gains from marine fisheries and mariculture reforms under climate change,,
overview,introduction,Introduction,,
overview,ab_overview_to_global_national_outlook,Explore Global and Country-Level Outcomes,,
overview,ab_overview_to_national_nutrition_data,Learn More About Nutrition,,
overview,ab_overview_to_seafood_reforms,Plan for Nutrition-Sensitive Reforms,,
overview,marine_seafood_production_scenarios,Marine Seafood Production Scenarios,,
overview,references_contact,References & Contact,,
,,,,
global-national-outlook,global-national-outlook,Global & National Outlook,,
global-national-outlook,w_global_national_outlook_resolution,Select Resolution,,
global-national-outlook,w_global_national_outlook_country,Select Country,,
global-national-outlook,population_growth,Population Growth,,
global-national-outlook,nutrient_demand,Nutrient Demand,,
global-national-outlook,nutrient-demand-tabs-1,Nutrient Deficiencies,,
global-national-outlook,nutrient-demand-tabs-2,Projected Nutrient Demands,,
global-national-outlook,marine_seafood_as_source_nutrients,Marine Seafood as a Source of Nutrients,,
global-national-outlook,marine-seafood-as-source-tabs-1,Fisheries & Mariculture Production,,
global-national-outlook,marine-seafood-as-source-tabs-2,Protein From Seafood,,
global-national-outlook,marine-seafood-as-source-tabs-3,Seafood Consumption,,
global-national-outlook,future_seafood_supply,Future Seafood Supply & Nutrient Contributions,,
global-national-outlook,future-seafood-supply-tabs-1,Forecasted Seafood Supply,,
global-national-outlook,future-seafood-supply-tabs-2,Nutrient Demands Filled By Seafood,,
,,,,
national-nutrition-data,national-nutrition-data,National Nutrition Data,,
national-nutrition-data,w_national_nutrition_data_country,Select Country,,
national-nutrition-data,protein_intake,Protein Intake,,
national-nutrition-data,protein-intake-tabs-1,Tab 1,,
national-nutrition-data,protein-intake-tabs-2,Tab 2,,
national-nutrition-data,seafood_consumption,Seafood Consumption & Nutrient Contributions,,
national-nutrition-data,seafood-consumption-tabs-1,Tab 1,,
national-nutrition-data,seafood-consumption-tabs-2,Tab 2,,
national-nutrition-data,seafood-consumption-tabs-3,Tab 3,,
national-nutrition-data,nutritional_health,Nutritional Health,,
national-nutrition-data,nutrient_consumption_profiles,Nutrient Consumption Profiles,,
national-nutrition-data,w_national_nutrition_data_nutrient,Select Nutrient,,
,,,,
seafood-reforms,seafood-reforms,Nutrition-Sensitive Seafood Reforms,,
seafood-reforms,w_seafood_reforms_country,Select Country,,
seafood-reforms,seafood_nutrition_content,Seafood Nutrition Content,,
seafood-reforms,fisheries_reforms,Fisheries Reforms,,
seafood-reforms,fisheries-reforms-tabs-1,Tab 1,,
seafood-reforms,fisheries-reforms-tabs-2,Tab 2,,
seafood-reforms,fisheries-reforms-tabs-3,Tab 3,,
seafood-reforms,aquaculture_reforms,Aquaculture Reforms,,
seafood-reforms,aquaculture-reforms-tabs-1,Tab 1,,
seafood-reforms,aquaculture-reforms-tabs-2,Tab 2,,
seafood-reforms,w_seafood_reforms_radar_species,Select Species,,
seafood-reforms,mariculture_site_explorer,Mariculture Site Explorer,,
seafood-reforms,w_seafood_reforms_site_explorer_species,Select Species,,
seafood-reforms,w_seafood_reforms_climate_scenario,Select Climate Scenario,,
,,,,
aqua-potential,aqua-potential,Aquaculture production potential,,title of aqua-potential tab
aqua-potential,aqua_potential_select_country,Select a country,,select country widget
aqua-potential,aqua-potential-historical,Historical aquaculture production,,first section header
aqua-potential,aqua-potential-future,Projected production under climate change,,second section header
aqua-species,aqua-species,Potential aquaculture species,,title of aqua-species tab
aqua-species,aqua_species_select_country,Select a country,,select country widget
aqua-species,aqua_species_select_scenario,Select a climate scenario,,select scenario widget
aqua-species,aqua-species-ranked,Projected production by species,,harvard_logo
aqua-species,aqua-species-nutrition,Nutrition information by species,,second section header
aqua-species,aqua_species_select_species,Select a species,,select species widget
aqua-species,aqua_species_select_species_group,Filter by species type,,select finfish/bivalve widget
aqua-explorer,aqua-explorer,Aquaculture site explorer,,title of aqua-explorer tab
aqua-explorer,aqua_explorer_select_species,Select a species,,
aqua-explorer,aqua_explorer_select_scenario,Select a climate scenario,,
aqua-explorer,aqua_explorer_select_year,Year,,
