eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
8478,Angolan Exclusive Economic Zone,200NM,Angola,AGO,NA,NA,NA,NA,Angola,AGO,NA,NA,NA,NA,495861.8581
5670,Albanian Exclusive Economic Zone,200NM,Albania,ALB,NA,NA,NA,NA,Albania,ALB,NA,NA,NA,NA,12165.61059
8360,United Arab Emirates Exclusive Economic Zone,200NM,United Arab Emirates,ARE,NA,NA,NA,NA,United Arab Emirates,ARE,NA,NA,NA,NA,52580.32176
8466,Argentinean Exclusive Economic Zone,200NM,Argentina,ARG,NA,NA,NA,NA,Argentina,ARG,NA,NA,NA,NA,1072785.766
8414,Antigua and Barbuda Exclusive Economic Zone,200NM,Antigua and Barbuda,ATG,NA,NA,NA,NA,Antigua and Barbuda,ATG,NA,NA,NA,NA,111560.0863
8388,Heard and McDonald Islands Exclusive Economic Zone,200NM,Heard and McDonald Islands,HMD,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,417353.3857
8310,Norfolk Island Exclusive Economic Zone,200NM,Norfolk Island,NFK,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,430746.5028
8309,Christmas Island Exclusive Economic Zone,200NM,Christmas Island,CXR,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,327994.3077
8308,Cocos Islands Exclusive Economic Zone,200NM,Cocos Islands,CCK,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,467439.7811
8323,Australian Exclusive Economic Zone,200NM,Australia,AUS,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,6870741.534
8311,Australian Exclusive Economic Zone (Macquarie Island),200NM,Macquarie Island,AUS,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,475737.9818
26524,Azerbaijanis Exclusive Economic Zone,200NM,Azerbaijan,AZE,NA,NA,NA,NA,Azerbaijan,AZE,NA,NA,NA,NA,80576.1965
3293,Belgian Exclusive Economic Zone,200NM,Belgium,BEL,NA,NA,NA,NA,Belgium,BEL,NA,NA,NA,NA,3491.701196
8393,Beninese Exclusive Economic Zone,200NM,Benin,BEN,NA,NA,NA,NA,Benin,BEN,NA,NA,NA,NA,35528.36864
8481,Bangladeshi Exclusive Economic Zone,200NM,Bangladesh,BGD,NA,NA,NA,NA,Bangladesh,BGD,NA,NA,NA,NA,112302.6207
5672,Bulgarian Exclusive Economic Zone,200NM,Bulgaria,BGR,NA,NA,NA,NA,Bulgaria,BGR,NA,NA,NA,NA,34752.81221
8358,Bahraini Exclusive Economic Zone,200NM,Bahrain,BHR,NA,NA,NA,NA,Bahrain,BHR,NA,NA,NA,NA,7515.055316
8404,Bahamas Exclusive Economic Zone,200NM,Bahamas,BHS,NA,NA,NA,NA,Bahamas,BHS,NA,NA,NA,NA,618667.2422
22491,Bosnian and Herzegovinian Exclusive Economic Zone,200NM,Bosnia and Herzegovina,BIH,NA,NA,NA,NA,Bosnia and Herzegovina,BIH,NA,NA,NA,NA,12.97967938
8457,Belizean Exclusive Economic Zone,200NM,Belize,BLZ,NA,NA,NA,NA,Belize,BLZ,NA,NA,NA,NA,34310.00203
8464,Brazilian Exclusive Economic Zone,200NM,Brazil,BRA,NA,NA,NA,NA,Brazil,BRA,NA,NA,NA,NA,3205100.308
8381,Brazilian Exclusive Economic Zone (Trindade),200NM,Trindade,BRA,NA,NA,NA,NA,Brazil,BRA,NA,NA,NA,NA,472480.8405
8418,Barbados Exclusive Economic Zone,200NM,Barbados,BRB,NA,NA,NA,NA,Barbados,BRB,NA,NA,NA,NA,185006.1913
26521,Bruneian Exclusive Economic Zone,200NM,Brunei,BRN,NA,NA,NA,NA,Brunei,BRN,NA,NA,NA,NA,43137.59207
8493,Canadian Exclusive Economic Zone,200NM,Canada,CAN,NA,NA,NA,NA,Canada,CAN,NA,NA,NA,NA,5769849.283
8465,Chilean Exclusive Economic Zone,200NM,Chile,CHL,NA,NA,NA,NA,Chile,CHL,NA,NA,NA,NA,2465054.677
22756,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),200NM,Islas San Félix and San Ambrosio,CHL,NA,NA,NA,NA,Chile,CHL,NA,NA,NA,NA,450960.4026
21787,Chilean Exclusive Economic Zone (Easter Island),200NM,Easter Island,CHL,NA,NA,NA,NA,Chile,CHL,NA,NA,NA,NA,729763.3664
8486,Chinese Exclusive Economic Zone,200NM,China,CHN,NA,NA,NA,NA,China,CHN,NA,NA,NA,NA,963547.8628
